1	прозвучала	звучать	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#23.67#24.088
2	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#24.088#24.506
3	мысль	мысль	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#24.506#24.924
4	в	в	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#24.924#25.342
5	спектакле	спектакль	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#25.342#25.76
6	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#25.76#26.178
7	Добрый	добрый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#26.178#26.596
8	мальчик	мальчик	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#26.596#27.014
9	урод	урод	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#27.014#27.44
10	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#28.3#28.582
11	знаменитым	знаменитый	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#28.582#28.864
12	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#28.864#29.146
13	значит	значит	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#29.146#29.428
14	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#29.428#29.71
15	счастливым	счастливый	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#29.71#29.992
16	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#29.992#30.274
17	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@ab1991f-words#@ab1991f#30.274#30.556
18	можете	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#30.556#30.838
19	согласиться	согласиться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	_	_	_	@ab1991f-words#@ab1991f#30.838#31.12
20	с	с	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#31.12#31.402
21	этим	этот	DET	_	Case=Ins|Gender=Neut|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#31.402#31.684
22	утверждением	утверждение	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#31.684#31.966
23	?	?	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#31.966#32.25
24	а	а	CCONJ	_	_	_	_	_	@ab1991f-words#@ab1991f#33.05#33.26
25	как	как	ADV	_	Degree=Pos	_	_	_	@ab1991f-words#@ab1991f#33.26#33.47
26	?	?	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#33.47#33.68
27	а	а	CCONJ	_	_	_	_	_	@ab1991f-words#@ab1991f#47.92#48.226
28	вот	вот	PART	_	_	_	_	_	@ab1991f-words#@ab1991f#48.226#48.532
29	ваша	ваш	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#48.532#48.838
30	фраза	фраза	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#48.838#49.144
31	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#49.144#49.45
32	актёр	актёр	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#49.45#49.756
33	на	на	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#49.756#50.062
34	сцене	сцена	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#50.062#50.368
35	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#50.368#50.674
36	либо	либо	CCONJ	_	_	_	_	_	@ab1991f-words#@ab1991f#50.674#50.98
37	исповедь	исповедь	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#50.98#51.286
38	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#51.286#51.592
39	либо	либо	CCONJ	_	_	_	_	_	@ab1991f-words#@ab1991f#51.592#51.898
40	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#51.898#52.204
41	проповедь	проповедь	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#52.204#52.52
42	почему	почему	ADV	_	Degree=Pos	_	_	_	@ab1991f-words#@ab1991f#52.78#53.08
43	?	?	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#53.08#53.38
44	ну	ну	PART	_	_	_	_	_	@ab1991f-words#@ab1991f#59.21#59.449
45	вот	вот	PART	_	_	_	_	_	@ab1991f-words#@ab1991f#59.449#59.688
46	а	а	INTJ	_	_	_	_	_	@ab1991f-words#@ab1991f#59.688#59.927
47	что	что	PRON	_	Case=Acc	_	_	_	@ab1991f-words#@ab1991f#59.927#60.166
48	сделать	делать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#60.166#60.405
49	с	с	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#60.405#60.644
50	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#60.644#60.883
51	развлекательным	развлекательный	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#60.883#61.122
52	театром	театр	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#61.122#61.361
53	?	?	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#61.361#61.6
54	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#61.6#61.839
55	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@ab1991f-words#@ab1991f#61.839#62.078
56	его	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	_	_	_	@ab1991f-words#@ab1991f#62.078#62.317
57	приемлете	приемлить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#62.317#62.556
58	?	?	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#62.556#62.8
59	театры	театр	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@ab1991f-words#@ab1991f#95.04#95.323
60	малых	малый	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@ab1991f-words#@ab1991f#95.323#95.606
61	городов	город	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@ab1991f-words#@ab1991f#95.606#95.889
62	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#95.889#96.172
63	в	в	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#96.172#96.455
64	целом	целое	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#96.455#96.738
65	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#96.738#97.021
66	какое	какой	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#97.021#97.304
67	впечатление	впечатление	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#97.304#97.587
68	на	на	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#97.587#97.87
69	вас	вы	PRON	_	Case=Acc|Number=Plur|Person=2	_	_	_	@ab1991f-words#@ab1991f#97.87#98.153
70	произвели	произвести	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#98.153#98.436
71	?	?	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#98.436#98.72
72	а	а	CCONJ	_	_	_	_	_	@ab1991f-words#@ab1991f#110.13#110.446
73	вот	вот	PART	_	_	_	_	_	@ab1991f-words#@ab1991f#110.446#110.762
74	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#110.762#111.078
75	режиссёр	режиссёр	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#111.078#111.394
76	Яновская	Яновская	PROPN	_	_	_	_	_	@ab1991f-words#@ab1991f#111.394#111.71
77	которая	который	PRON	_	Case=Nom	_	_	_	@ab1991f-words#@ab1991f#111.71#112.026
78	ставила	ставить	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#112.026#112.342
79	на	на	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#112.342#112.658
80	вас	вы	PRON	_	Case=Gen|Number=Plur|Person=2	_	_	_	@ab1991f-words#@ab1991f#112.658#112.974
81	Вдовий	вдовий	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#112.974#113.29
82	пароход	пароход	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@ab1991f-words#@ab1991f#113.29#113.606
83	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#113.606#113.922
84	в	в	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#113.922#114.238
85	одном	один	NUM	_	Case=Loc|Gender=Neut	_	_	_	@ab1991f-words#@ab1991f#114.238#114.554
86	из	из	ADP	_	_	_	_	_	@ab1991f-words#@ab1991f#114.554#114.87
87	интервью	интервью	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	_	_	_	@ab1991f-words#@ab1991f#114.87#115.186
88	сказала	сказать	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@ab1991f-words#@ab1991f#115.186#115.502
89	что	что	PRON	_	Case=Nom	_	_	_	@ab1991f-words#@ab1991f#115.502#115.818
90	/	/	PUNCT	_	_	_	_	_	@ab1991f-words#@ab1991f#115.818#116.134
91	удивляется	удивляться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@ab1991f-words#@ab1991f#116.134#116.45
92	как	как	ADV	_	Degree=Pos	_	_	_	@ab1991f-words#@ab1991f#116.45#116.766
